physics,chemistry,maths,biology,total,stream,rank
99,33,65,0,197,PCM,16442
45,36,37,0,118,PCM,93154
99,81,47,0,227,PCM,4645
32,98,0,33,163,PCB,65738
65,76,73,0,214,PCM,8105
77,34,0,75,186,PCB,34288
92,53,0,80,225,PCB,7100
40,41,0,40,121,PCB,136907
54,47,0,79,180,PCB,41229
72,45,0,30,147,PCB,94316
67,51,0,21,139,PCB,110838
73,88,43,0,204,PCM,13474
52,97,0,21,170,PCB,55633
62,53,62,0,177,PCM,31352
29,63,0,23,115,PCB,142734
91,78,0,23,192,PCB,27105
52,98,0,52,202,PCB,18713
96,96,46,0,238,PCM,4476
39,46,0,38,123,PCB,135587
96,22,0,73,191,PCB,29363
50,26,48,0,124,PCM,89454
95,100,0,89,284,PCB,171
77,21,0,21,119,PCB,138267
75,82,0,96,253,PCB,1788
47,84,0,71,202,PCB,20909
31,46,32,0,109,PCM,101704
58,25,0,47,130,PCB,125081
33,53,34,0,120,PCM,93213
81,34,49,0,164,PCM,43436
57,95,57,0,209,PCM,9201
81,27,43,0,151,PCM,59929
94,95,0,33,222,PCB,10503
92,35,48,0,175,PCM,31790
96,82,0,73,251,PCB,2104
98,67,70,0,235,PCM,3639
57,88,0,28,173,PCB,52447
23,85,0,90,198,PCB,22601
85,25,0,89,199,PCB,22815
83,96,58,0,237,PCM,4598
94,79,39,0,212,PCM,8956
44,98,46,0,188,PCM,20689
37,86,0,85,208,PCB,15564
68,87,0,98,253,PCB,3253
54,83,0,90,227,PCB,7703
20,25,93,0,138,PCM,73885
37,52,0,90,179,PCB,42468
76,22,0,95,193,PCB,27972
100,59,26,0,185,PCM,24134
33,69,26,0,128,PCM,84417
55,24,0,71,150,PCB,88728
38,74,41,0,153,PCM,56281
20,29,0,54,103,PCB,157323
60,73,45,0,178,PCM,30416
77,39,0,54,170,PCB,57140
61,97,72,0,230,PCM,5521
66,43,0,70,179,PCB,43723
42,26,0,96,164,PCB,66472
52,96,34,0,182,PCM,26331
47,42,0,74,163,PCB,66285
80,67,28,0,175,PCM,32535
71,29,32,0,132,PCM,80842
51,62,0,80,193,PCB,26850
55,28,0,22,105,PCB,154066
93,41,0,81,215,PCB,11710
52,79,0,48,179,PCB,43047
92,24,0,67,183,PCB,39122
92,73,0,43,208,PCB,15168
49,32,37,0,118,PCM,93266
30,59,0,20,109,PCB,151268
92,24,0,75,191,PCB,28820
36,33,49,0,118,PCM,93690
36,63,53,0,152,PCM,56675
34,63,0,25,122,PCB,136591
39,99,32,0,170,PCM,36178
42,34,49,0,125,PCM,86839
87,53,33,0,173,PCM,33372
71,21,20,0,112,PCM,98940
57,53,33,0,143,PCM,67923
99,87,96,0,282,PCM,1
52,72,32,0,156,PCM,52068
44,31,46,0,121,PCM,90313
73,68,0,60,201,PCB,21119
23,31,0,29,83,PCB,169209
29,88,0,43,160,PCB,71904
94,50,0,37,181,PCB,39009
49,77,0,97,223,PCB,10791
87,80,99,0,266,PCM,502
83,36,0,34,153,PCB,85211
77,30,39,0,146,PCM,64114
56,84,0,58,198,PCB,24141
41,31,0,21,93,PCB,162933
85,92,66,0,243,PCM,3004
47,83,0,78,208,PCB,15218
72,98,0,68,238,PCB,3874
36,90,0,53,179,PCB,44014
52,88,43,0,183,PCM,25712
47,25,0,32,104,PCB,155334
63,27,63,0,153,PCM,55866
40,69,44,0,153,PCM,57246
80,64,49,0,193,PCM,18908
100,49,80,0,229,PCM,5007
65,40,81,0,186,PCM,22256
75,87,0,45,207,PCB,15413
73,82,0,29,184,PCB,38304
66,27,56,0,149,PCM,60218
82,50,53,0,185,PCM,24583
92,59,0,25,176,PCB,48430
92,88,0,92,272,PCB,2407
27,93,0,72,192,PCB,27533
93,57,87,0,237,PCM,3597
42,99,0,59,200,PCB,20425
58,69,65,0,192,PCM,18692
37,55,66,0,158,PCM,50188
27,91,52,0,170,PCM,37485
47,57,0,77,181,PCB,39380
59,23,0,66,148,PCB,92717
34,76,0,43,153,PCB,82937
63,73,0,77,213,PCB,11915
78,20,0,37,135,PCB,116939
63,60,0,81,204,PCB,18036
37,94,47,0,178,PCM,30266
72,99,0,79,250,PCB,2082
97,55,98,0,250,PCM,1796
90,91,85,0,266,PCM,413
88,82,45,0,215,PCM,8719
24,97,25,0,146,PCM,65174
33,90,47,0,170,PCM,37718
62,32,0,43,137,PCB,111689
68,41,99,0,208,PCM,9696
24,24,0,32,80,PCB,169744
51,37,21,0,109,PCM,100853
82,36,0,63,181,PCB,38716
38,97,0,93,228,PCB,5816
44,72,0,55,171,PCB,53811
25,50,70,0,145,PCM,66805
53,62,0,58,173,PCB,50442
64,86,87,0,237,PCM,3996
91,59,0,49,199,PCB,21515
94,69,0,81,244,PCB,5249
49,27,59,0,135,PCM,76669
26,49,25,0,100,PCM,106452
78,83,0,57,218,PCB,9612
96,60,0,57,213,PCB,14064
63,42,36,0,141,PCM,69901
61,35,0,93,189,PCB,30176
94,69,0,33,196,PCB,23582
64,99,63,0,226,PCM,6167
91,58,48,0,197,PCM,15614
81,28,0,55,164,PCB,64634
59,65,25,0,149,PCM,61178
47,59,0,91,197,PCB,23417
57,36,96,0,189,PCM,21577
57,64,0,96,217,PCB,9789
93,70,55,0,218,PCM,7071
43,95,24,0,162,PCM,45638
31,23,44,0,98,PCM,107396
22,51,86,0,159,PCM,49744
44,56,42,0,142,PCM,68460
90,31,0,31,152,PCB,87152
59,58,38,0,155,PCM,53600
74,45,0,63,182,PCB,39167
21,64,55,0,140,PCM,72793
54,60,0,79,193,PCB,28712
82,35,90,0,207,PCM,10884
38,85,57,0,180,PCM,26840
85,40,0,93,218,PCB,12906
43,51,20,0,114,PCM,97560
97,52,0,53,202,PCB,18499
46,24,78,0,148,PCM,62784
74,21,0,91,186,PCB,36201
68,47,31,0,146,PCM,65298
23,70,57,0,150,PCM,59862
49,88,47,0,184,PCM,24618
75,64,0,78,217,PCB,13214
38,89,0,33,160,PCB,72676
73,87,77,0,237,PCM,4416
59,77,63,0,199,PCM,14012
40,69,96,0,205,PCM,12805
35,24,63,0,122,PCM,89968
35,64,0,68,167,PCB,60753
100,46,0,62,208,PCB,17106
34,35,86,0,155,PCM,53698
67,93,25,0,185,PCM,23172
66,35,80,0,181,PCM,26526
25,50,55,0,130,PCM,83113
40,56,0,44,140,PCB,108977
